cluster,ShotsFired,ShotsHit,Accuracy,AvgReactionTime,VarianceAcc,StdDevAcc,VarianceReactionTime,StdDevReactionTime,StdDevShotsHit
0,210.5,192.5,91.5647550307143,0.98886104565,8.41633162308357,2.5350090179428575,0.003005519745585714,0.04691954422571428,2.2849808846214286
1,107.6,91.4,86.154444886,1.9846758126000001,65.3602762228,7.1199815032,0.118364148596,0.2911676526,2.5717278959
2,240.6,199.0,82.845801163,0.93664176766,20.495935809,4.12059981225,0.012454592791685,0.094460661431,5.31588974
3,41.5,38.5,92.76785278,4.7160437105,46.29691124,6.735805988,0.60733149945,0.77600592375,1.8438990115
